event_type,timestamp,detail
MSG,1108877.0,!CAL
MSG,1108877.0,!CAL Calibration points:
MSG,1108877.0,"!CAL -29.6, -43.2 -0, -0"
MSG,1108877.0,"!CAL -31.3, -61.7 -0, -3183"
MSG,1108877.0,"!CAL -27.3, -25.6 -0, 3183"
MSG,1108877.0,"!CAL -65.5, -40.3 -6000, -0"
MSG,1108877.0,"!CAL 7.5, -45.5 6000, -0"
MSG,1108877.0,"!CAL 0.0, 0.0 0, 0"
MSG,1108877.0,"!CAL eye check box: (L,R,T,B)"
MSG,1108877.0,"!CAL href cal range: (L,R,T,B)"
MSG,1108877.0,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
MSG,1108877.0,"!CAL Prenormalize: offx, offy = -29.56 -43.236"
MSG,1108877.0,!CAL Gains: cx:159.754 lx:165.299 rx:154.323
MSG,1108877.0,!CAL Gains: cy:203.897 ty:178.557 by:215.865
MSG,1108877.0,"!CAL Resolution (upd) at screen center: X=1.6, Y=1.3"
MSG,1108877.0,!CAL Gain Change Proportion: X: 0.071 Y: 0.209
MSG,1108877.0,!CAL Gain Ratio (Gy/Gx) = 1.276
MSG,1108877.0,"!CAL PCR gain ratio(x,y) = 1.915, 1.879"
MSG,1108877.0,"!CAL CR gain match(x,y) = 1.010, 1.010"
MSG,1108877.0,!CAL Slip rotation correction OFF
MSG,1108877.0,!CAL CALIBRATION HV5 R RIGHT GOOD
MSG,1122364.0,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.45 avg. 0.68 max OFFSET 0.28 deg. 10.8,0.6 pix."
MSG,1122364.0,"VALIDATE R 4POINT 0 RIGHT at 960,540 OFFSET 0.64 deg. 23.2,8.2 pix."
MSG,1122364.0,"VALIDATE R 4POINT 1 RIGHT at 960,92 OFFSET 0.68 deg. 2.2,-25.6 pix."
MSG,1122364.0,"VALIDATE R 4POINT 2 RIGHT at 960,988 OFFSET 0.14 deg. -3.8,3.8 pix."
